LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
0100002,Alabama Youth Services,01,1000 Industrial School Road,Mt Meigs,AL,36057,01,01073,Jefferson County,33.673661,-86.628755,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,N,0106,01044,01020,2017-2018,21,-2,-2,N
0100005,Albertville City,01,107 West Main Street,Albertville,AL,35950,01,01095,Marshall County,34.268289,-86.209263,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL",N,N,0104,01026,01009,2017-2018,32,0,1,32
0100006,Marshall County,01,12380 US Highway 431 S,Guntersville,AL,35976,01,01095,Marshall County,34.30577,-86.286958,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL",N,N,0104,01034,01009,2017-2018,42,21.02,2,"41, 42"
0100007,Hoover City,01,2810 Metropolitan Way,Hoover,AL,35243,01,01073,Jefferson County,33.4062,-86.7669,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,N,0106,01047,01016,2017-2018,13,5.97,2,"13, 41"
0100008,Madison City,01,211 Celtic Drive,Madison,AL,35758,01,01089,Madison County,34.686721,-86.745741,26620,"Huntsville, AL",1,290,"Huntsville-Decatur-Albertville, AL",N,N,0105,01010,01002,2017-2018,21,0,1,21
0100009,Al Inst Deaf And Blind,01,205 E South Street,Talladega,AL,35160,01,01121,Talladega County,33.432193,-86.098593,45180,"Talladega-Sylacauga, AL",2,142,"Birmingham-Hoover-Talladega, AL",N,N,0103,01035,01011,2017-2018,32,-2,-2,N
0100011,Leeds City,01,1404 8th Street,Leeds,AL,35094,01,01073,Jefferson County,33.54419,-86.541801,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,N,0106,01045,01015,2017-2018,21,0,1,21
0100012,Boaz City,01,126 Newt Parker Dr,Boaz,AL,35957,01,01095,Marshall County,34.21315,-86.159891,10700,"Albertville, AL",2,290,"Huntsville-Decatur-Albertville, AL",N,N,0104,01026,01009,2017-2018,32,0,1,32
0100013,Trussville City,01,601 Parkway Drive,Trussville,AL,35173,01,01073,Jefferson County,33.63251,-86.604551,13820,"Birmingham-Hoover, AL",1,142,"Birmingham-Hoover-Talladega, AL",N,N,0106,01044,01017,2017-2018,21,32.36,2,"21, 41"
0100015,SafetyNet Academy Minter,01,80 Mel Bailey Drive,Minter,AL,36761,01,01047,Dallas County,32.111608,-87.077607,42820,"Selma, AL",2,N,N,N,N,0107,01067,01023,2017-2018,43,-2,-2,N
