percent_pov,sch_mathcert_advm
0.284,14
0.438,1
0.438,2
0.438,2
0.438,1
0.072,46
0.072,29
0.068,13
0.068,12
0.149,5
0.208,2
0.061,26
0.274,3
0.218,2
0.540,3
0.126,11
0.152,4
0.152,16
0.186,4
0.130,3
0.114,7
0.050,0
0.103,39
0.203,2
0.203,4
0.203,11
0.203,1
0.153,6
0.153,14
0.153,8
0.153,13
0.153,4
0.153,4
0.153,7
0.153,5
0.423,2
0.275,3
0.275,6
0.463,4
0.463,4
0.463,4
0.463,4
0.463,2
0.463,1
0.202,1
0.202,4
0.202,4
0.202,2
0.202,2
0.202,1
0.202,2
0.280,1
0.516,1
0.343,11
0.343,1
0.198,8
0.198,48
0.198,4
0.198,5
0.198,3
0.198,10
0.198,3
0.315,1
0.315,5
0.227,1
0.227,3
0.227,2
0.215,1
0.215,3
0.215,2
0.215,2
0.215,4
0.472,3
0.392,6
0.392,5
0.204,1
0.204,2
0.333,3
0.333,3
0.333,3
0.301,3
0.301,4
0.421,3
0.384,1
0.276,1
0.276,6
0.276,2
0.153,4
0.200,2
0.200,1
0.200,2
0.171,1
0.171,5
0.171,14
0.470,1
0.425,3
0.425,1
0.425,2
0.315,4
0.315,6
0.315,3
0.315,5
0.315,6
0.315,5
0.315,2
0.315,8
0.244,33
0.244,9
0.171,5
0.304,11
0.304,20
0.359,2
0.153,4
0.153,4
0.153,4
0.153,9
0.153,1
0.148,8
0.387,1
0.387,3
0.387,2
0.234,2
0.234,4
0.234,3
0.234,6
0.234,1
0.234,2
0.467,3
0.262,27
0.262,2
0.262,6
0.253,12
0.207,2
0.241,1
0.241,1
0.241,1
0.241,1
0.395,12
0.346,2
0.359,1
0.359,1
0.359,3
0.600,1
0.187,9
0.319,5
0.319,4
0.231,3
0.085,17
0.270,2
0.270,3
0.076,29
0.220,1
0.220,4
0.220,1
0.220,2
0.220,2
0.241,29
0.241,30
0.241,17
0.241,21
0.241,9
0.241,14
0.238,2
0.238,1
0.238,3
0.238,1
0.238,1
0.238,1
0.238,30
0.191,2
0.153,11
0.178,5
0.178,8
0.178,3
0.178,4
0.178,2
0.178,11
0.178,5
0.178,2
0.178,8
0.178,10
0.178,21
0.178,3
0.232,2
0.232,1
0.232,1
0.428,1
0.151,2
0.151,2
0.151,2
0.151,2
0.151,1
0.151,1
0.256,1
0.256,2
0.256,2
0.256,2
0.252,7
0.252,2
0.252,2
0.252,1
0.182,4
0.182,2
0.182,3
0.182,5
0.182,4
0.476,1
0.468,1
0.500,2
0.500,1
0.129,12
