percent_pov,SCH_SCICCERT_PHYS
0.284,13
0.438,1
0.072,6
0.068,7
0.068,3
0.208,1
0.061,4
0.218,1
0.126,1
0.152,2
0.152,2
0.186,8
0.136,3
0.114,1
0.103,4
0.203,1
0.203,1
0.203,2
0.153,1
0.153,5
0.153,2
0.153,2
0.153,2
0.153,1
0.153,3
0.153,4
0.275,2
0.463,4
0.463,1
0.463,1
0.202,4
0.202,2
0.202,1
0.280,2
0.343,0
0.343,1
0.198,1
0.198,1
0.198,2
0.198,1
0.198,1
0.315,1
0.227,1
0.227,1
0.227,1
0.215,1
0.215,3
0.215,1
0.215,1
0.215,1
0.215,1
0.472,1
0.472,2
0.392,1
0.392,1
0.204,1
0.204,1
0.333,1
0.333,1
0.333,1
0.384,1
0.239,1
0.239,1
0.276,1
0.276,1
0.276,2
0.153,2
0.200,0
0.200,0
0.200,1
0.200,1
0.171,2
0.171,4
0.171,2
0.470,1
0.425,3
0.425,1
0.425,2
0.315,1
0.315,1
0.315,1
0.315,2
0.315,1
0.315,1
0.315,2
0.244,26
0.244,13
0.171,7
0.304,1
0.153,2
0.153,1
0.148,4
0.387,1
0.387,1
0.234,1
0.234,1
0.234,1
0.234,1
0.234,2
0.234,1
0.467,3
0.253,2
0.207,4
0.241,1
0.241,1
0.395,1
0.346,1
0.359,1
0.359,2
0.359,1
0.600,1
0.187,1
0.319,2
0.319,0
0.231,2
0.085,2
0.076,2
0.220,1
0.220,1
0.220,1
0.220,1
0.220,1
0.241,18
0.241,17
0.241,16
0.241,8
0.241,6
0.241,14
0.238,1
0.238,2
0.238,3
0.238,2
0.238,1
0.238,37
0.191,1
0.153,3
0.178,3
0.178,1
0.178,2
0.178,5
0.178,1
0.178,0
0.178,4
0.232,1
0.232,1
0.232,1
0.151,2
0.151,1
0.151,1
0.151,1
0.151,1
0.151,2
0.256,1
0.256,1
0.256,1
0.252,1
0.252,1
0.252,3
0.252,1
0.182,1
0.182,1
0.476,1
0.468,1
0.129,1
0.129,6
0.129,6
0.129,3
0.382,0
0.382,1
0.382,1
0.306,1
0.306,2
0.306,2
0.306,1
0.302,2
0.344,1
0.344,5
0.344,1
0.344,4
0.344,4
0.344,4
0.344,1
0.344,2
0.331,1
0.331,2
0.331,0
0.331,1
0.403,2
0.403,1
0.403,6
0.403,2
0.403,2
0.168,1
0.168,1
0.168,2
0.168,1
0.065,4
0.107,1
0.127,1
0.296,18
0.274,1
0.366,4
0.562,1
0.309,2
0.348,0
0.348,1
0.272,2
0.272,1
0.194,0
0.366,2
0.256,2
0.181,7
0.434,1
0.098,1
0.098,2
0.098,1
0.098,2
0.098,6
0.098,1
0.152,0
0.258,1
0.386,2
0.236,1
0.236,1
0.236,1
0.272,1
0.272,1
0.272,1
0.160,1
0.221,1
0.437,2
0.280,2
0.280,3
0.280,5
0.169,3
0.169,2
0.169,2
0.169,4
0.169,9
0.169,2
0.178,1
0.037,4
0.221,1
0.221,1
0.221,1
0.283,1
0.283,1
0.518,1
0.179,1
0.264,1
0.264,3
0.285,4
0.285,2
0.261,1
0.261,1
0.185,1
0.214,1
0.101,1
0.101,1
0.157,1
0.157,1
0.004,1
0.004,1
0.004,1
0.106,1
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.089,8
0.089,0
0.089,6
0.090,1
0.090,1
0.214,1
0.130,2
0.130,1
0.130,1
0.130,1
0.130,2
0.130,0
0.130,1
0.116,1
0.116,1
0.116,1
0.116,1
0.116,3
0.116,4
0.147,1
0.011,0
0.163,0
0.163,0
0.163,3
0.096,0
0.096,1
0.096,1
0.096,2
0.096,1
0.096,2
0.120,1
0.120,4
0.120,1
0.120,1
0.120,1
0.270,1
0.270,1
0.096,2
0.275,1
0.071,1
0.149,1
0.027,1
0.276,0
0.276,0
0.025,1
0.305,0
0.057,1
0.045,0
0.195,1
0.115,20
0.248,1
0.613,0
0.306,0
0.306,1
0.306,1
0.235,1
0.306,2
0.306,3
0.108,3
0.108,5
0.108,5
0.108,1
0.234,5
0.234,6
0.234,16
0.234,4
0.398,1
0.134,1
0.134,1
0.225,0
0.235,1
0.253,0
0.253,1
0.047,8
0.092,10
0.092,19
0.092,7
0.092,14
0.092,4
0.092,2
0.092,3
0.599,10
0.579,0
0.359,5
0.285,1
0.183,5
0.183,5
0.183,3
0.183,2
0.203,5
0.203,5
0.166,3
0.242,4
0.144,4
0.686,1
0.496,1
0.314,2
0.314,1
0.314,4
0.314,6
0.314,2
0.314,1
0.314,1
0.082,5
0.082,3
0.327,1
0.521,2
0.185,1
0.597,1
0.230,1
0.316,1
0.139,9
0.139,4
0.181,3
0.675,0
0.253,2
0.253,2
0.253,1
0.253,1
0.253,3
0.253,2
0.385,1
0.249,1
0.071,5
0.162,3
0.162,13
0.162,24
0.162,24
0.162,66
0.162,8
0.289,1
0.171,1
0.286,5
0.286,2
0.286,2
0.135,2
0.135,2
0.135,2
0.135,4
0.135,4
0.135,2
0.135,3
0.451,7
0.451,5
0.451,7
0.451,2
0.451,5
0.451,4
0.451,5
0.451,7
0.451,4
0.451,3
0.451,5
0.451,7
0.264,3
0.214,5
0.788,1
0.055,5
0.328,1
1.736,0
1.736,0
0.374,1
0.254,1
0.260,4
0.090,0
0.090,0
0.070,0
0.120,6
0.120,3
0.120,10
0.120,6
0.120,4
0.120,1
0.208,1
0.273,0
0.133,6
0.133,4
0.133,6
0.133,8
0.133,2
0.215,1
0.284,0
0.048,3
0.112,34
0.112,28
0.112,18
0.112,14
0.112,17
0.112,32
0.112,3
0.189,3
0.189,3
0.189,13
0.189,5
0.363,1
0.363,1
0.363,2
0.363,7
0.363,11
0.363,2
0.363,2
0.363,2
0.363,3
0.363,1
0.363,2
0.050,2
0.050,11
0.050,5
0.050,1
0.050,0
0.050,5
0.117,1
0.216,1
0.498,1
0.309,0
0.732,1
0.277,3
0.277,4
0.277,4
0.277,6
0.245,1
0.240,2
0.300,1
0.179,1
0.151,2
0.151,0
0.238,1
0.197,1
0.293,1
0.493,1
0.427,1
0.222,3
0.169,1
0.226,1
0.439,1
0.203,1
0.182,1
0.358,1
0.194,1
0.322,8
0.307,1
0.464,1
0.192,1
0.176,1
0.176,1
0.269,1
0.383,1
0.176,1
0.176,1
0.266,1
0.266,1
0.336,0
0.329,1
0.238,1
0.346,1
0.346,1
0.316,10
0.213,1
0.267,1
0.243,2
0.098,1
0.224,8
0.222,2
0.500,1
0.285,9
0.071,1
0.122,1
0.108,1
0.088,4
0.088,4
0.064,40
0.064,22
0.113,1
0.251,1
0.198,6
0.392,1
0.254,1
0.193,1
0.469,1
0.078,1
0.095,15
0.216,1
0.119,4
0.341,1
0.219,1
0.131,1
0.196,1
0.333,1
0.349,1
0.187,2
0.190,1
0.143,4
0.363,1
0.231,1
0.225,2
0.259,2
0.169,40
0.169,17
0.223,1
0.296,1
0.282,1
0.264,1
0.187,1
0.213,1
0.175,1
0.158,1
0.492,1
0.155,1
0.175,1
0.369,1
0.339,1
0.221,1
0.273,8
0.095,1
0.306,1
0.142,5
0.142,3
0.258,1
0.253,1
0.184,1
0.462,1
0.271,5
0.271,9
0.152,3
0.160,1
0.111,1
0.216,1
0.249,1
0.123,5
0.223,1
0.115,1
0.321,1
0.135,3
0.180,1
0.337,1
0.337,1
0.174,1
0.245,2
0.062,1
0.230,1
0.229,1
0.220,1
0.240,1
1.131,1
0.365,2
0.364,1
0.260,2
0.373,6
0.274,1
0.274,1
0.332,1
0.332,1
0.270,5
0.114,0
0.336,1
0.180,4
0.497,4
0.111,3
0.232,1
0.177,1
0.216,1
0.242,8
0.242,1
0.242,4
0.242,2
0.242,2
0.177,1
0.237,2
0.301,2
0.289,1
0.220,1
0.494,3
0.200,1
0.371,1
0.370,1
0.801,1
0.325,1
0.354,1
0.167,1
0.381,2
0.393,1
0.214,1
0.343,1
0.160,2
0.338,1
0.310,1
0.535,1
0.209,1
0.298,1
0.204,1
0.219,1
0.373,1
0.477,1
0.119,1
0.252,4
0.124,2
0.293,1
0.111,1
0.184,1
0.190,2
0.140,2
0.050,1
0.096,2
0.254,1
0.191,1
0.191,1
0.191,3
0.209,1
0.153,28
0.153,27
0.153,9
0.167,1
0.217,3
0.190,1
0.218,1
0.229,3
0.386,1
0.203,2
0.228,1
0.207,1
0.247,1
0.123,1
0.107,1
0.174,7
0.174,6
0.174,3
0.292,1
0.252,2
0.164,4
0.380,15
0.380,0
0.155,1
0.067,5
0.067,13
0.300,2
0.300,1
0.114,2
0.375,1
0.271,6
0.292,1
0.116,2
0.206,1
0.191,1
0.201,4
0.229,0
0.122,1
0.236,1
0.147,1
0.051,9
0.051,4
0.258,0
0.258,0
0.258,0
0.258,0
0.169,7
0.280,2
0.280,7
0.022,17
0.038,10
0.038,17
0.327,1
0.040,8
0.475,0
0.160,3
0.160,5
0.160,3
0.160,0
0.079,5
0.079,4
0.079,1
0.079,9
0.080,8
0.080,10
0.080,4
0.250,0
0.045,4
0.288,3
0.065,3
0.114,3
0.114,3
0.114,17
0.114,2
0.114,3
0.114,1
0.010,1
0.354,1
0.284,2
0.063,5
0.122,2
0.265,2
0.265,2
0.265,1
0.186,0
0.186,1
0.157,4
0.157,2
0.157,4
0.183,1
0.213,1
0.218,5
0.355,0
0.176,1
0.209,1
0.125,1
0.125,2
0.279,1
0.394,2
0.394,2
0.394,1
0.394,1
0.394,1
0.394,2
0.302,2
0.304,0
0.104,3
0.133,2
0.100,2
0.200,12
0.200,8
0.200,2
0.163,9
0.163,6
0.272,1
0.271,2
0.315,0
0.331,2
0.331,3
0.331,1
0.331,4
0.172,1
0.148,1
0.048,9
0.139,12
0.139,0
0.139,5
0.139,10
0.139,3
0.352,1
0.417,1
0.192,1
0.293,4
0.138,3
0.343,1
0.119,3
0.119,5
0.119,6
0.119,6
0.028,4
0.028,7
0.028,6
0.028,7
0.094,7
0.094,10
0.094,2
0.094,2
0.045,6
0.191,4
0.191,3
0.191,8
0.162,0
0.162,1
0.223,3
0.223,6
0.223,4
0.223,6
0.223,3
0.223,2
0.223,4
0.223,4
0.223,1
0.094,3
0.094,3
0.245,3
0.245,1
0.260,1
0.247,1
0.247,0
0.247,0
0.247,0
0.247,1
0.247,1
0.247,1
0.247,2
0.212,5
0.212,5
0.212,4
0.101,6
0.186,2
0.186,1
0.186,2
0.085,6
0.085,1
0.270,9
0.270,8
0.362,1
0.250,3
0.250,3
0.330,4
0.383,1
0.278,1
0.194,3
0.094,12
0.094,1
0.203,2
0.203,1
0.049,17
0.049,1
0.049,1
0.072,4
0.144,13
0.258,1
0.237,1
0.087,3
0.087,0
0.084,0
0.084,9
0.203,1
0.098,3
0.098,3
0.062,5
0.266,0
0.333,3
0.081,2
0.074,9
0.074,7
0.074,8
0.074,10
0.074,11
0.101,13
0.101,1
0.101,16
0.101,1
0.101,14
0.101,6
0.101,13
0.075,16
0.075,1
0.075,2
0.068,0
