percent_pov,SCH_MATHCERT_ALG2
0.284,12
0.438,4
0.438,6
0.438,5
0.438,4
0.072,7
0.072,6
0.068,3
0.068,9
0.149,6
0.208,4
0.061,9
0.274,5
0.218,6
0.540,4
0.540,1
0.126,3
0.152,11
0.152,5
0.186,6
0.130,3
0.114,10
0.050,0
0.103,7
0.103,2
0.203,3
0.203,6
0.203,3
0.203,1
0.153,7
0.153,13
0.153,8
0.153,11
0.153,5
0.153,10
0.153,12
0.153,7
0.423,3
0.423,1
0.275,5
0.463,5
0.463,8
0.463,2
0.463,7
0.463,8
0.463,7
0.463,2
0.202,2
0.202,2
0.202,9
0.202,3
0.202,3
0.202,2
0.202,2
0.280,4
0.516,3
0.343,6
0.343,1
0.343,1
0.198,5
0.198,42
0.198,2
0.198,3
0.198,4
0.198,5
0.315,5
0.227,2
0.227,3
0.227,1
0.227,2
0.227,2
0.227,0
0.215,2
0.215,2
0.215,1
0.215,1
0.215,3
0.215,3
0.472,1
0.472,2
0.392,1
0.392,1
0.204,6
0.204,3
0.333,1
0.333,2
0.301,2
0.301,4
0.301,2
0.421,3
0.384,2
0.239,1
0.239,1
0.239,1
0.239,2
0.276,2
0.276,3
0.276,3
0.153,10
0.200,1
0.200,1
0.200,2
0.200,0
0.200,2
0.200,4
0.171,3
0.171,2
0.171,5
0.470,3
0.425,5
0.425,1
0.425,2
0.315,3
0.315,2
0.315,1
0.244,10
0.244,7
0.171,7
0.304,7
0.304,3
0.359,2
0.153,3
0.153,2
0.153,7
0.153,12
0.153,1
0.148,22
0.387,0
0.387,3
0.387,7
0.234,2
0.234,3
0.234,2
0.234,7
0.234,1
0.234,3
0.467,4
0.332,3
0.262,15
0.262,1
0.262,1
0.253,18
0.207,10
0.241,1
0.241,2
0.241,2
0.241,1
0.241,2
0.395,8
0.346,3
0.359,3
0.359,4
0.359,4
0.600,3
0.187,4
0.319,2
0.319,1
0.231,3
0.085,7
0.270,1
0.270,5
0.270,0
0.076,2
0.220,2
0.220,3
0.220,1
0.220,3
0.220,4
0.241,8
0.241,5
0.241,5
0.241,4
0.241,4
0.238,2
0.238,1
0.238,3
0.238,2
0.238,2
0.238,2
0.238,78
0.191,5
0.153,3
0.178,8
0.178,3
0.178,4
0.178,6
0.178,14
0.178,4
0.178,4
0.178,5
0.178,4
0.178,11
0.178,8
0.178,3
0.178,2
0.232,3
0.232,4
0.232,3
0.428,3
0.151,5
0.151,3
0.151,2
0.151,2
0.151,3
0.151,1
0.151,5
0.256,3
0.256,3
0.256,6
0.256,4
0.252,2
0.252,5
0.252,2
0.252,12
0.252,1
0.182,3
0.182,1
0.182,4
0.182,4
0.182,2
0.476,2
0.468,1
0.468,1
0.500,2
0.500,4
0.129,2
0.129,2
0.129,17
0.129,3
0.129,2
0.382,0
0.382,2
0.382,1
0.306,2
0.306,2
0.306,1
0.306,6
0.306,1
0.302,0
0.344,5
0.344,1
0.344,4
0.344,6
0.344,3
0.344,12
0.344,6
0.344,1
0.344,1
0.331,1
0.331,1
0.331,1
0.331,1
0.331,1
0.403,5
0.403,11
0.403,6
0.403,5
0.403,8
0.403,1
0.168,2
0.168,2
0.168,3
0.168,1
0.168,7
0.065,18
0.065,2
0.107,8
0.127,3
0.296,7
0.274,1
0.366,4
0.252,7
0.562,0
0.562,1
0.309,6
0.309,1
0.348,3
0.348,2
0.348,2
0.231,3
0.351,1
0.351,2
0.272,2
0.272,2
0.272,3
0.194,5
0.366,8
0.256,9
0.181,4
0.434,4
0.429,2
0.098,3
0.098,4
0.098,3
0.098,4
0.098,4
0.098,4
0.098,1
0.152,4
0.152,2
0.504,3
0.258,6
0.386,2
0.236,6
0.236,2
0.236,5
0.236,2
0.236,4
0.236,2
0.272,2
0.272,2
0.272,4
0.160,3
0.343,1
0.221,2
0.437,6
0.280,10
0.280,13
0.280,12
0.169,15
0.169,5
0.169,4
0.169,3
0.169,2
0.169,3
0.178,7
0.037,13
0.221,2
0.221,3
0.221,3
0.221,1
0.221,1
0.283,3
0.283,1
0.283,1
0.283,2
0.518,1
0.518,3
0.179,4
0.264,2
0.264,1
0.264,23
0.264,2
0.285,3
0.285,6
0.285,2
0.285,3
0.285,2
0.285,2
0.285,2
0.285,4
0.285,6
0.285,3
0.285,2
0.285,2
0.285,2
0.285,2
0.285,3
0.424,1
0.424,0
0.424,1
0.424,4
0.424,1
0.424,0
0.348,2
0.375,1
0.106,1
0.106,1
0.106,1
0.483,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.185,1
0.214,0
0.214,1
0.049,1
0.196,0
0.101,1
0.101,1
0.157,1
0.157,1
0.190,1
0.004,2
0.004,1
0.004,2
0.106,5
0.106,1
0.117,6
0.117,3
0.117,5
0.117,5
0.117,0
0.117,2
0.117,5
0.117,0
0.117,10
0.117,5
0.117,2
0.117,0
0.117,4
0.117,0
0.117,3
0.089,5
0.089,1
0.090,2
0.214,1
0.293,1
0.250,1
0.184,1
0.130,0
0.130,1
0.130,3
0.130,0
0.130,0
0.130,2
0.130,0
0.130,0
0.130,3
0.130,0
0.130,1
0.089,5
0.089,1
0.089,1
0.198,1
0.198,1
0.198,1
0.116,1
0.116,3
0.116,1
0.116,4
0.116,1
0.116,0
0.116,1
0.116,2
0.116,6
0.116,1
0.116,4
0.116,1
0.116,1
0.116,3
0.147,1
0.147,1
0.147,1
0.011,1
0.011,0
0.163,0
0.163,1
0.096,2
0.096,7
0.096,5
0.096,6
0.096,1
0.096,2
0.096,1
0.096,4
0.120,1
0.120,1
0.120,1
0.120,1
0.270,1
0.270,1
0.270,0
0.270,3
0.270,3
0.273,0
0.096,2
0.275,1
0.071,1
0.149,1
0.149,1
0.149,1
0.345,1
0.345,1
0.345,1
0.345,2
0.143,1
0.027,2
0.276,1
0.276,2
0.276,0
0.276,0
0.276,0
0.025,1
0.025,1
0.025,1
0.025,3
0.305,0
0.057,2
0.045,0
0.045,0
0.045,0
0.045,0
0.195,1
0.301,1
0.301,1
0.399,0
0.115,4
0.248,10
1.404,1
0.613,4
0.199,0
0.306,6
0.306,19
0.306,11
0.235,4
0.235,1
0.235,1
0.306,6
0.306,13
0.108,12
0.108,13
0.108,12
0.108,11
0.208,4
0.234,5
0.234,7
0.234,9
0.234,3
0.316,2
0.363,9
0.363,1
0.282,1
0.112,2
0.398,0
0.271,4
0.000,1
0.134,8
0.134,9
0.134,16
0.225,13
0.235,3
0.235,0
0.235,0
0.253,12
0.253,9
0.047,13
0.092,46
0.092,54
0.092,27
0.092,35
0.092,8
0.092,4
0.092,14
0.599,7
0.579,4
0.579,0
0.359,13
0.285,2
0.183,32
0.183,44
0.183,42
0.183,34
0.183,1
0.203,9
0.203,14
0.203,1
0.166,7
0.166,4
0.166,10
0.242,17
0.242,1
0.144,11
0.435,1
0.686,2
0.496,1
0.342,4
0.314,11
0.314,6
0.314,11
0.314,7
0.314,8
0.314,9
0.314,8
0.314,13
0.314,13
0.314,2
0.314,2
0.259,13
0.098,1
0.233,1
0.082,13
0.082,16
0.327,3
0.277,14
0.185,2
0.260,1
0.597,2
0.230,14
0.316,3
0.139,17
0.139,14
0.181,21
0.675,3
0.253,11
0.253,16
0.253,14
0.253,16
0.253,16
0.253,12
0.253,3
0.253,2
0.253,0
0.253,2
0.253,1
0.385,3
0.249,9
0.071,4
0.345,1
0.345,5
0.280,7
0.162,34
0.162,32
0.162,82
0.162,1
0.162,30
0.162,65
0.162,14
0.162,8
0.289,12
0.289,1
0.171,4
0.286,10
0.286,3
0.286,3
0.135,14
0.135,13
0.135,17
0.135,18
0.135,15
0.135,15
0.135,18
0.451,36
0.451,24
0.451,33
0.451,33
0.451,28
0.451,39
0.451,21
0.451,58
0.451,40
0.451,4
0.451,25
0.451,3
0.451,0
0.451,33
0.451,4
0.451,2
0.264,12
0.264,1
0.214,7
0.788,2
0.055,14
0.055,1
0.328,2
1.736,3
1.736,1
0.374,1
0.374,1
0.254,2
0.254,1
0.260,2
0.260,7
0.260,2
0.090,5
0.090,8
0.070,1
0.362,4
0.120,7
0.120,7
0.120,2
0.120,10
0.120,5
0.120,1
0.273,0
0.133,28
0.133,18
0.133,19
0.133,23
0.133,37
0.133,10
0.133,2
0.215,7
0.170,2
0.284,0
0.284,0
0.356,1
0.356,8
0.356,14
0.356,1
0.181,1
0.181,1
0.048,6
0.112,25
0.112,20
0.112,9
0.112,11
0.112,12
0.112,15
0.112,7
0.165,0
0.189,9
0.189,17
0.189,13
0.189,8
0.189,7
0.189,5
0.330,3
0.792,4
0.363,8
0.363,6
0.363,12
0.363,23
0.363,4
0.363,13
0.363,17
0.363,9
0.363,13
0.363,6
0.363,2
0.363,1
0.363,2
0.050,2
0.050,11
0.050,7
0.050,2
0.050,0
0.050,8
0.117,1
0.518,4
0.216,7
0.216,2
0.292,0
0.369,2
0.498,8
0.309,6
0.732,1
0.277,0
0.277,22
0.277,6
0.277,17
0.277,23
0.277,18
0.184,8
0.184,0
0.245,4
0.240,11
0.300,5
0.179,3
0.151,13
0.169,3
0.238,17
0.238,1
0.197,10
0.293,2
0.493,2
0.427,4
0.467,14
0.222,6
0.169,11
0.226,2
0.226,0
0.439,2
0.203,8
0.182,14
0.358,7
0.218,6
0.194,5
0.322,6
0.291,3
0.307,3
0.464,3
0.192,3
0.176,2
0.176,4
0.176,2
0.269,0
0.383,2
0.176,1
0.176,1
0.266,2
0.266,1
0.336,1
0.336,1
0.336,1
0.329,3
0.238,3
0.346,4
0.346,1
0.316,10
0.213,10
0.267,1
0.243,9
0.098,2
0.224,0
0.222,4
0.500,3
0.285,9
0.246,3
0.071,5
0.071,8
0.122,2
0.175,6
0.175,2
0.108,34
0.108,2
0.088,10
0.088,3
0.064,31
0.064,17
0.113,5
0.251,7
0.198,4
0.340,1
0.472,6
0.392,1
0.254,5
0.193,2
0.469,3
0.078,7
0.095,30
0.216,3
0.119,39
0.119,13
0.341,2
0.219,2
0.131,2
0.196,5
0.333,5
0.349,4
0.187,4
0.190,3
0.143,4
0.363,1
0.231,2
0.225,12
0.259,12
0.285,2
0.169,36
0.223,2
0.296,2
0.282,2
0.285,1
0.264,5
0.187,6
0.213,2
0.511,3
0.175,2
0.158,4
0.492,4
0.155,4
0.175,4
0.369,2
0.369,4
0.339,3
0.221,2
0.273,14
0.095,4
0.283,5
0.306,3
0.303,7
0.142,24
0.142,4
0.142,1
0.258,3
0.253,4
0.184,2
0.462,9
0.271,2
0.271,23
0.271,15
0.152,5
0.160,5
0.111,7
0.216,6
0.249,2
0.123,7
0.223,4
0.115,10
0.321,3
0.135,4
0.220,2
0.180,2
0.337,3
0.337,1
0.174,3
0.245,2
0.245,3
0.062,5
0.230,7
0.229,9
0.288,2
0.220,11
0.240,3
1.131,0
0.268,2
0.294,3
0.365,10
0.275,3
0.364,9
0.260,10
0.227,4
0.373,27
0.274,5
0.274,1
0.332,3
0.332,1
0.332,1
0.270,15
0.114,3
0.336,6
0.329,1
0.180,22
0.497,6
0.111,18
0.232,6
0.177,3
0.216,5
0.242,28
0.242,12
0.242,15
0.242,16
0.242,11
0.177,5
0.237,4
0.090,3
0.301,3
0.289,1
0.220,5
0.494,4
0.200,13
0.371,2
0.370,3
0.801,2
0.131,5
0.325,2
0.212,3
0.354,3
0.167,3
0.381,4
0.393,2
0.214,9
0.343,2
0.160,2
0.314,2
0.338,4
0.338,2
0.338,1
0.310,2
0.535,2
0.209,2
0.298,5
0.204,3
0.219,8
0.373,1
0.290,23
0.290,3
0.236,2
0.477,5
0.119,2
0.252,11
0.124,5
0.293,3
0.111,3
0.184,4
0.175,1
0.190,8
0.140,5
0.050,2
0.096,9
0.254,5
0.191,11
0.191,21
0.191,12
0.191,19
0.209,4
0.153,24
0.153,24
0.153,8
0.167,5
0.217,19
0.190,3
0.218,5
0.229,11
0.386,7
0.203,12
0.228,3
0.207,4
0.247,7
0.123,4
0.221,2
0.107,4
0.174,22
0.174,29
0.174,9
0.292,2
0.252,8
0.164,11
0.380,10
0.380,5
0.138,6
0.155,4
0.067,7
0.300,17
0.300,2
0.300,4
0.114,10
0.375,2
0.271,6
0.292,9
0.116,9
0.206,1
0.191,4
0.201,9
0.229,2
0.122,0
0.236,10
0.363,7
0.147,2
0.233,1
0.083,1
0.083,0
0.051,11
0.051,11
0.051,1
0.258,0
0.258,0
0.258,0
0.541,1
0.169,21
0.280,18
0.280,0
0.280,18
0.305,1
0.022,9
0.038,7
0.038,1
0.038,9
0.327,6
0.040,20
0.475,1
0.160,13
0.160,12
0.160,7
0.160,1
0.079,17
0.079,11
0.079,5
0.079,18
0.080,7
0.080,3
0.080,12
0.080,7
0.045,1
0.045,16
0.288,4
0.065,9
0.382,5
0.114,6
0.114,15
0.114,2
0.114,1
0.114,2
0.010,1
0.010,7
0.354,4
0.284,5
0.443,1
0.063,6
0.122,4
0.265,8
0.157,7
0.157,9
0.157,6
0.183,9
0.183,1
0.183,0
0.213,2
0.355,0
0.355,3
0.176,6
0.125,6
0.125,3
0.279,4
0.279,1
0.394,0
0.394,11
0.394,14
0.394,0
0.394,9
0.394,0
0.394,5
0.394,0
0.394,5
0.302,9
0.104,4
0.104,1
0.133,0
0.100,4
0.100,1
0.100,5
0.200,0
0.200,1
0.200,2
0.163,10
0.163,2
0.163,12
0.163,5
0.272,2
0.271,5
0.271,1
0.271,1
0.271,5
0.315,0
0.331,8
0.331,11
0.331,3
0.331,9
0.331,8
0.331,2
0.331,2
0.172,4
0.148,6
0.148,1
0.048,6
0.139,17
0.139,8
0.139,9
0.139,0
0.352,8
0.352,0
0.352,1
0.417,4
0.192,6
0.293,6
0.293,2
0.138,1
0.343,2
0.119,14
0.119,14
0.119,13
0.119,1
0.119,5
0.028,11
0.028,11
0.028,14
0.028,11
0.028,1
0.094,14
0.094,7
0.094,1
0.094,2
0.191,11
0.191,17
0.191,10
0.162,3
0.162,2
0.223,21
0.223,20
0.223,17
0.223,20
0.223,14
0.223,11
0.223,13
0.223,11
0.223,6
0.094,8
0.094,5
0.094,1
0.245,8
0.245,12
0.245,3
