percent_pov,SCH_SCICCERT_BIOL
0.284,23
0.438,4
0.438,9
0.438,7
0.438,4
0.072,41
0.072,23
0.068,8
0.068,18
0.149,6
0.208,12
0.061,6
0.274,8
0.218,6
0.540,6
0.540,1
0.126,12
0.152,16
0.152,7
0.186,8
0.136,7
0.130,6
0.114,9
0.050,7
0.103,10
0.103,24
0.203,2
0.203,10
0.203,31
0.203,1
0.153,7
0.153,4
0.153,11
0.153,6
0.153,12
0.153,11
0.153,7
0.153,8
0.153,7
0.423,10
0.423,1
0.275,5
0.275,5
0.463,8
0.463,10
0.463,2
0.463,11
0.463,9
0.463,3
0.463,6
0.202,2
0.202,3
0.202,7
0.202,4
0.202,5
0.202,2
0.202,4
0.280,2
0.516,4
0.343,7
0.343,1
0.343,1
0.198,5
0.198,3
0.198,3
0.198,4
0.198,7
0.198,4
0.198,5
0.315,1
0.315,9
0.227,2
0.227,6
0.227,1
0.227,3
0.227,1
0.227,0
0.215,3
0.215,7
0.215,2
0.215,2
0.215,3
0.215,1
0.472,3
0.472,2
0.392,4
0.392,6
0.204,5
0.204,3
0.333,2
0.333,3
0.333,4
0.301,3
0.301,3
0.301,4
0.421,0
0.384,3
0.239,2
0.239,2
0.239,2
0.239,5
0.276,2
0.276,1
0.276,3
0.153,15
0.200,0
0.200,0
0.200,2
0.200,5
0.200,3
0.200,6
0.200,4
0.171,2
0.171,5
0.171,3
0.470,5
0.425,5
0.425,2
0.425,4
0.315,4
0.315,3
0.315,4
0.315,3
0.315,5
0.315,4
0.315,2
0.315,5
0.244,32
0.244,21
0.171,14
0.304,23
0.304,8
0.359,2
0.153,4
0.153,6
0.153,14
0.153,17
0.153,1
0.148,22
0.387,3
0.387,4
0.387,5
0.234,3
0.234,6
0.234,7
0.234,10
0.234,2
0.234,4
0.467,11
0.332,4
0.262,2
0.262,2
0.262,8
0.253,8
0.253,17
0.207,10
0.241,2
0.241,1
0.241,3
0.241,3
0.241,1
0.241,2
0.395,25
0.346,5
0.359,2
0.359,2
0.359,3
0.600,4
0.187,15
0.319,0
0.319,0
0.231,6
0.085,12
0.270,2
0.270,3
0.270,3
0.270,0
0.076,18
0.220,4
0.220,3
0.220,3
0.220,3
0.220,4
0.241,34
0.241,36
0.241,25
0.241,18
0.241,21
0.241,26
0.238,4
0.238,2
0.238,6
0.238,10
0.238,2
0.238,1
0.238,122
0.191,6
0.153,11
0.178,14
0.178,7
0.178,8
0.178,5
0.178,14
0.178,6
0.178,10
0.178,10
0.178,12
0.178,12
0.178,7
0.178,25
0.178,4
0.232,3
0.232,3
0.232,2
0.428,3
0.151,5
0.151,5
0.151,3
0.151,3
0.151,5
0.151,2
0.151,4
0.256,2
0.256,3
0.256,6
0.256,3
0.252,11
0.252,5
0.252,4
0.252,20
0.252,0
0.182,8
0.182,4
0.182,7
0.182,5
0.182,5
0.182,4
0.476,2
0.468,1
0.468,1
0.500,2
0.500,0
0.129,3
0.129,14
0.129,6
0.129,12
0.129,12
0.129,24
0.382,0
0.382,1
0.382,2
0.306,2
0.306,2
0.306,2
0.306,6
0.306,2
0.306,1
0.302,5
0.344,6
0.331,7
0.331,3
0.331,0
0.331,2
0.331,0
0.403,5
0.403,1
0.403,18
0.403,22
0.403,15
0.403,12
0.403,14
0.403,8
0.403,4
0.168,5
0.168,4
0.168,6
0.168,7
0.168,9
0.065,2
0.065,10
0.107,8
0.127,6
0.296,37
0.274,8
0.366,10
0.252,9
0.562,2
0.562,6
0.309,11
0.309,24
0.348,0
0.348,2
0.348,2
0.231,4
0.351,3
0.351,3
0.272,3
0.272,1
0.194,2
0.366,11
0.256,11
0.181,12
0.434,8
0.429,4
0.098,10
0.098,16
0.098,7
0.098,5
0.098,3
0.098,18
0.098,4
0.152,3
0.152,7
0.152,2
0.152,8
0.152,2
0.504,4
0.258,5
0.386,5
0.236,4
0.236,4
0.236,8
0.236,4
0.236,4
0.236,2
0.272,4
0.272,6
0.272,5
0.160,3
0.343,4
0.221,6
0.437,6
0.280,18
0.280,21
0.280,20
0.169,16
0.169,10
0.169,4
0.169,9
0.169,16
0.169,6
0.178,6
0.037,26
0.221,1
0.221,2
0.221,5
0.221,3
0.221,4
0.283,3
0.283,3
0.283,3
0.283,1
0.283,2
0.518,1
0.518,6
0.179,13
0.264,2
0.264,3
0.264,68
0.264,4
0.285,8
0.285,6
0.285,4
0.285,1
0.285,2
0.285,4
0.285,8
0.285,6
0.285,2
0.285,2
0.285,5
0.285,4
0.285,2
0.285,6
0.285,1
0.424,1
0.424,1
0.424,1
0.424,0
0.424,0
0.424,0
0.424,0
0.348,0
0.348,1
0.375,1
0.106,1
0.106,1
0.106,1
0.483,0
0.483,0
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.261,1
0.185,2
0.185,0
0.214,0
0.214,1
0.214,1
0.196,1
0.196,2
0.101,3
0.101,1
0.157,1
0.157,1
0.157,1
0.190,3
0.004,3
0.004,1
0.004,2
0.106,11
0.106,2
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.089,1
0.089,13
0.089,0
0.089,13
