percent_pov,SCH_MATHCERT_CALC
0.284,4
0.438,1
0.438,1
0.438,1
0.438,1
0.072,10
0.072,7
0.068,7
0.068,5
0.149,1
0.061,3
0.126,3
0.152,3
0.152,1
0.186,2
0.130,1
0.114,2
0.103,7
0.203,1
0.203,3
0.153,1
0.153,2
0.153,1
0.153,2
0.153,2
0.153,3
0.153,1
0.153,1
0.423,1
0.275,1
0.463,11
0.463,3
0.463,1
0.463,1
0.463,0
0.202,1
0.343,2
0.343,2
0.198,4
0.227,2
0.227,1
0.215,1
0.472,1
0.392,1
0.392,3
0.204,1
0.333,1
0.301,1
0.239,1
0.153,1
0.200,1
0.200,0
0.200,2
0.200,1
0.171,1
0.470,1
0.315,1
0.244,2
0.244,1
0.171,1
0.304,1
0.153,1
0.153,1
0.153,3
0.153,1
0.153,1
0.148,4
0.387,1
0.234,1
0.234,1
0.234,1
0.467,1
0.253,2
0.207,1
0.241,1
0.241,1
0.395,1
0.346,1
0.600,1
0.187,3
0.319,1
0.231,1
0.085,2
0.076,6
0.220,1
0.220,2
0.220,1
0.241,2
0.241,5
0.241,1
0.241,5
0.241,1
0.238,1
0.191,1
0.153,1
0.178,2
0.178,1
0.178,1
0.178,2
0.178,3
0.178,2
0.178,1
0.178,1
0.178,1
0.178,1
0.178,1
0.151,1
0.151,1
0.151,1
0.151,1
0.151,1
0.151,1
0.256,1
0.252,1
0.252,1
0.252,2
0.252,2
0.182,3
0.182,1
0.476,1
0.500,1
0.129,1
0.129,3
0.129,1
0.129,5
0.129,5
0.382,1
0.306,1
0.306,1
0.302,1
0.344,0
0.344,3
0.344,3
0.403,1
0.403,1
0.403,1
0.403,2
0.403,8
0.403,6
0.403,1
0.168,1
0.168,1
0.168,3
0.065,6
0.107,1
0.127,1
0.296,2
0.274,1
0.366,1
0.252,1
0.562,0
0.309,1
0.231,1
0.366,2
0.256,1
0.181,1
0.434,1
0.429,1
0.098,2
0.098,1
0.098,1
0.098,6
0.098,1
0.152,1
0.152,1
0.152,1
0.386,1
0.236,1
0.236,1
0.236,1
0.236,2
0.272,1
0.160,2
0.437,2
0.280,1
0.280,4
0.280,1
0.169,1
0.169,1
0.169,1
0.037,3
0.221,1
0.221,1
0.518,2
0.179,2
0.285,2
0.483,1
0.101,1
0.190,1
0.004,1
0.106,1
0.117,3
0.117,1
0.117,0
0.117,3
0.117,5
0.117,0
0.117,3
0.117,1
0.117,3
0.089,2
0.089,3
0.089,2
0.090,1
0.130,1
0.130,0
0.130,1
0.130,0
0.130,0
0.130,1
