percent_pov,SCH_SCICCERT_CHEM
0.284,9
0.438,1
0.438,3
0.438,2
0.438,2
0.072,29
0.072,16
0.068,4
0.068,11
0.149,4
0.208,9
0.061,6
0.274,5
0.218,3
0.540,2
0.126,6
0.152,14
0.152,4
0.186,5
0.136,3
0.130,2
0.114,6
0.050,5
0.103,14
0.203,2
0.203,6
0.203,11
0.203,1
0.153,4
0.153,10
0.153,4
0.153,7
0.153,1
0.153,3
0.153,6
0.153,7
0.423,1
0.275,5
0.275,5
0.463,4
0.463,2
0.463,9
0.463,3
0.463,2
0.463,6
0.202,1
0.202,2
0.202,4
0.202,1
0.202,3
0.202,1
0.202,2
0.280,3
0.516,1
0.343,3
0.343,1
0.343,0
0.198,3
0.198,2
0.198,2
0.198,4
0.198,1
0.198,3
0.315,1
0.315,3
0.227,3
0.227,1
0.227,1
0.227,1
0.215,1
0.215,5
0.215,1
0.215,2
0.215,1
0.215,3
0.472,2
0.472,2
0.392,2
0.392,2
0.204,3
0.204,2
0.333,2
0.333,3
0.333,1
0.421,2
0.384,1
0.239,2
0.239,1
0.239,1
0.239,2
0.276,1
0.276,1
0.276,2
0.153,12
0.200,0
0.200,0
0.200,1
0.200,2
0.200,3
0.200,1
0.200,1
0.171,1
0.171,2
0.171,2
0.470,3
0.425,3
0.425,1
0.425,2
0.315,2
0.315,3
0.315,2
0.315,2
0.315,2
0.315,1
0.315,2
0.244,22
0.244,11
0.171,5
0.304,6
0.304,3
0.359,2
0.153,2
0.153,5
0.153,5
0.153,6
0.153,1
0.148,21
0.387,3
0.387,5
0.387,2
0.234,3
0.234,4
0.234,2
0.234,5
0.234,1
0.234,4
0.467,9
0.332,1
0.262,1
0.262,1
0.262,6
0.253,14
0.207,8
0.241,1
0.241,1
0.241,2
0.241,1
0.241,1
0.395,14
0.346,2
0.600,5
0.187,5
0.319,3
0.319,3
0.231,4
0.085,10
0.270,1
0.270,4
0.076,10
0.220,2
0.220,1
0.220,1
0.220,1
0.220,3
0.241,17
0.241,18
0.241,10
0.241,9
0.241,10
0.241,6
0.238,5
0.238,4
0.238,1
0.238,2
0.238,2
0.238,1
0.238,67
0.191,3
0.153,8
0.178,8
0.178,3
0.178,5
0.178,0
0.178,10
0.178,2
0.178,8
0.178,9
0.178,5
0.178,4
0.178,5
0.178,16
0.178,2
0.232,1
0.232,2
0.232,1
0.428,1
0.151,4
0.151,4
0.151,2
0.151,2
0.151,2
0.151,1
0.151,2
0.256,2
0.256,4
0.256,5
0.256,4
0.252,4
0.252,3
0.252,3
0.252,9
0.252,0
0.182,1
0.182,1
0.182,4
0.182,3
0.182,3
0.182,2
0.476,1
0.468,1
0.468,0
0.500,2
0.129,4
0.129,13
0.129,2
0.129,8
0.129,14
0.382,0
0.382,1
0.382,1
0.306,1
0.306,1
0.306,1
0.306,2
0.306,3
0.302,3
0.344,2
0.344,10
0.344,2
0.344,1
0.344,7
0.344,4
0.344,6
0.344,2
0.344,4
0.331,3
0.331,2
0.331,0
0.331,1
0.403,4
0.403,10
0.403,5
0.403,7
0.403,3
0.403,16
0.403,9
0.403,1
0.168,1
0.168,2
0.168,2
0.168,2
0.168,3
0.065,18
0.065,1
0.107,4
0.127,3
0.296,5
0.274,5
0.366,5
0.252,4
0.562,1
0.309,4
0.348,0
0.348,1
0.348,2
0.231,2
0.351,2
0.351,3
0.272,3
0.272,1
0.272,1
0.194,0
0.366,4
0.256,4
0.181,6
0.434,2
0.429,2
0.098,7
0.098,9
0.098,4
0.098,2
0.098,3
0.098,14
0.098,2
0.152,3
0.152,2
0.152,2
0.504,1
0.258,5
0.386,4
0.236,3
0.236,6
0.236,5
0.236,1
0.236,3
0.236,3
0.272,1
0.272,2
0.272,2
0.160,1
0.343,1
0.221,2
0.437,4
0.280,5
0.280,9
0.280,10
0.169,8
0.169,4
0.169,2
0.169,2
0.169,9
0.169,1
0.178,3
0.037,6
0.221,1
0.221,4
0.221,3
0.221,2
0.221,1
0.283,1
0.283,1
0.283,1
0.283,1
0.283,1
0.518,1
0.518,5
0.179,4
0.264,2
0.264,2
0.264,1
0.285,4
0.285,4
0.424,1
0.106,1
0.261,1
0.261,1
0.214,0
0.214,1
0.214,1
0.049,1
0.196,1
0.196,1
0.101,1
0.157,1
0.157,1
0.190,2
0.004,1
0.106,5
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.117,0
0.089,3
0.089,2
0.089,2
0.090,1
0.293,1
0.184,1
0.130,0
0.130,4
0.130,0
0.130,4
0.130,1
0.130,1
0.130,4
0.246,1
0.089,6
0.116,1
