"LEA_STATE","LEA_STATE_NAME","LEAID","LEA_NAME","LEA_ADDRESS","LEA_CITY","LEA_ZIP","CJJ","LEA_HSE_IND","LEA_HSEPART_HI_M","LEA_HSEPART_HI_F","LEA_HSEPART_AM_M","LEA_HSEPART_AM_F","LEA_HSEPART_AS_M","LEA_HSEPART_AS_F","LEA_HSEPART_HP_M","LEA_HSEPART_HP_F","LEA_HSEPART_BL_M","LEA_HSEPART_BL_F","LEA_HSEPART_WH_M","LEA_HSEPART_WH_F","LEA_HSEPART_TR_M","LEA_HSEPART_TR_F","TOT_HSEPART_M","TOT_HSEPART_F","LEA_HSEPART_LEP_M","LEA_HSEPART_LEP_F","LEA_HSEPART_IDEA_M","LEA_HSEPART_IDEA_F"
"AL","ALABAMA","0100002","Alabama Youth Services","P O Box 66","Mt Meigs","36057","Yes","Yes",2,0,0,0,0,0,0,0,38,0,48,0,0,0,88,0,2,0,18,0
"AL","ALABAMA","0100005","Albertville City","107 W Main St","Albertville","35950","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100006","Marshall County","12380 US Highway 431 S","Guntersville","35976","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100007","Hoover City","2810 Metropolitan Way","Birmingham","35243","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100008","Madison City","211 Celtic Dr","Madison","35758","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100009","Al Inst Deaf And Blind","P.O. Box 698 (35161)","East  Talladega","35161","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100011","Leeds City","PO Box 1029","Leeds","35094","No","Yes",1,2,0,0,0,0,0,0,3,4,6,8,0,0,10,14,1,1,0,0
"AL","ALABAMA","0100012","Boaz City","126 Newt Parker Dr","Boaz","35957","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100013","Trussville City","113 N Chalkville Rd","Trussville","35173","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100018","Alabama School of Fine Arts","1800 Reverend Abraham Woods, Jr. Blvd.","Birmingham","35203","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100019","United Ability","100 Oslo Circle","Birmingham","35211","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100020","Boyd School","P O Box 127","Green Pond","35074","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100021","Brewer-Porch Childrens Center","P O Box 870156","Tuscaloosa","35487","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100022","Sequel TSI Courtland","P O Box 370","Courtland","35618","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100023","Sequel Madison TSI School of Alabama","1329 Browns Ferry Road","Madison","35758","No","Yes",1,0,0,0,1,0,0,0,14,0,6,0,0,0,22,0,0,0,0,0
"AL","ALABAMA","0100024","Sequel TSI- New Beginnings School/ Owens Crossroads","318 Hamer Road","Owens Cross Roads","35763","No","Yes",0,0,0,0,0,0,0,0,0,1,0,14,0,1,0,16,0,0,0,0
"AL","ALABAMA","0100026","Sequel TSI Tuskegee","4280 U S Highway 29 South","Tuskegee","36083","No","Yes",0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0
"AL","ALABAMA","0100030","Alexander City","375 Lee St","Alexander City","35010","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100033","Glenwood Mental Health Services","150 Glenwood Lane","Birmingham","35242","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100035","Learning Tree Inc","101 S Dubois Street","Tallassee","36078","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100036","Lee Co Youth Development Ctr","1109 Spring Drive Drive","Opelika","36801","No","Yes",0,0,0,0,0,0,0,0,5,2,7,3,0,0,12,5,12,5,0,0
"AL","ALABAMA","0100038","Pathway Inc","P O Box 311206","Enterprise","36331","No","Yes",0,0,0,0,0,0,0,0,13,7,19,10,0,0,32,17,0,0,4,1
"AL","ALABAMA","0100039","Presbyterian Home For Children","905 Ashland Highway","Talladega","35160","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100041","Developing Alabama Youth Foundation, (DAY) Inc.","P O Box 1811","Alabaster","35007","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100044","The Rushton School","5201 Airport Highway","Birmingham","35212","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100060","Andalusia City","1201 C C Baker Avenue","Andalusia","36421","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100090","Anniston City","PO Box 1500","Anniston","36202","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100100","Arab City","750 Arabian Dr NE","Arab","35016","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100120","Athens City","455 US Highway 31 North","Athens","35611","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100178","Higdon Hill School","6869 5th Ave S","Birmingham","35212","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100180","Attalla City","101 Case Ave","Attalla","35954","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100183","Alabama Clinical School","1221 Alton Drive","Birmingham","35210","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100184","Excel Institute","1147 Walnut St","Gadsden","35901","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100185","Saraland City","4010 Lil Spartan Drive","Saraland","36571","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100188","Chickasaw City","201 N. Craft Hwy.","Chickasaw","36611","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100189","Satsuma City","P O Box 939","Satsuma","36572","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100190","Alabaster City","1953 Municipal Way Suite 200","Alabaster","35007","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100194","Pelham City","3113 Cummings Street","Pelham","35124","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100195","Pike Road City","500 Avenue of Learning","Pike Road","36064","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100198","Sequel TSI School of Montgomery","135 Mildred St","Montgomery","36104","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100210","Auburn City","PO Box 3270","Auburn","36831","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100240","Autauga County","153 W 4th St","Prattville","36067","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100270","Baldwin County","2600A North Hand Ave","Bay Minette","36507","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100330","Bessemer City","PO Box 1230","Bessemer","35021","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100360","Bibb County","721 Walnut Street","Centreville","35042","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
