"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"AL","ALABAMA","0100005","Albertville City","01616","Big Spring Lake Kindergarten School","010000501616","No","DD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100005","Albertville City","02150","Albertville Primary School","010000502150","No","DD",0,0,0,3,0,0,1,0,0,0,0,0,0,1,5,2,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100006","Marshall County","00876","Claysville School","010000600876","No","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100006","Marshall County","00877","Douglas Elementary School","010000600877","No","DD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","00887","Brindlee Mountain Primary School","010000600887","No","DD",1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100006","Marshall County","01413","Robert D Sloman Primary","010000601413","No","DD",0,0,0,2,0,0,1,0,0,0,0,0,0,2,5,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100006","Marshall County","01685","Kate D Smith DAR Elementary School","010000601685","No","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,0,2,0,4,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0
"AL","ALABAMA","0100006","Marshall County","02209","Asbury Elementary School","010000602209","No","DD",0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0
"AL","ALABAMA","0100007","Hoover City","00091","Trace Crossings Elementary School","010000700091","No","DD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AL","ALABAMA","0100007","Hoover City","00248","Greystone Elementary School","010000700248","No","DD",0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100007","Hoover City","00342","South Shades Crest Elementary School","010000700342","No","DD",0,0,2,0,0,0,1,0,0,1,0,0,0,1,5,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100007","Hoover City","01483","Deer Valley Elementary School","010000701483","No","DD",0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100007","Hoover City","01738","Bluff Park Elementary School","010000701738","No","DD",0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100007","Hoover City","01739","Green Valley Elementary School","010000701739","No","DD",0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"AL","ALABAMA","0100007","Hoover City","01740","Gwin Elementary School","010000701740","No","DD",0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100007","Hoover City","01742","Rocky Ridge Elementary School","010000701742","No","DD",0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100007","Hoover City","01743","Shades Mountain Elementary School","010000701743","No","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100007","Hoover City","02091","Riverchase Elementary School","010000702091","No","DD",0,1,1,0,0,0,2,0,0,1,0,0,0,0,5,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0
"AL","ALABAMA","0100008","Madison City","00303","Horizon Elementary School","010000800303","No","DD",0,1,2,0,0,0,1,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100008","Madison City","00839","Madison Elementary School","010000800839","No","DD",0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100008","Madison City","00851","West Madison Elementary School","010000800851","No","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100008","Madison City","01423","Heritage Elementary School","010000801423","No","DD",0,0,0,1,0,0,2,0,0,0,1,0,0,0,4,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100008","Madison City","01485","Rainbow Elementary School","010000801485","No","DD",0,0,3,0,0,0,1,0,0,1,0,0,0,5,10,0,4,0,6,0,0,0,2,0,2,0,0,0,0,0,3,1,2,0,0
"AL","ALABAMA","0100008","Madison City","02097","Columbia Elementary School","010000802097","No","DD",0,1,1,1,0,0,4,0,0,0,0,0,0,2,9,1,6,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100008","Madison City","02133","Mill Creek Elementary School","010000802133","No","DD",0,1,1,0,0,0,2,0,0,2,0,1,0,1,8,1,3,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0
"AL","ALABAMA","0100009","Al Inst Deaf And Blind","01404","Alabama School For Blind","010000901404","No","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100011","Leeds City","02430","Leeds Primary School","010001102430","No","DD",0,0,1,1,0,0,4,0,0,0,0,0,0,1,7,1,5,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100012","Boaz City","01781","Boaz Elementary School","010001201781","No","DD",0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100013","Trussville City","01498","Paine Elementary School","010001301498","No","DD",0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
