"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"IA","IOWA","1900006","North Fayette Comm School District","01232","North Fayette Valley H School","190001000000","No","MISSING",0,0,0,0,1,0,25,0,0,0,0,1,0,16,43,0,26,0,17,0,0,0,5,9,12,0,0,0,0,0,4,4,9,0,0
"IA","IOWA","1900006","North Fayette Comm School District","01234","West Union  Elementary School","190001000000","No","MISSING",0,0,0,1,0,0,22,0,0,0,0,0,0,10,33,0,23,0,10,0,0,0,1,1,21,0,0,0,0,0,0,1,9,0,0
"IA","IOWA","1900006","North Fayette Comm School District","02191","North Fayette Elementary Fayette Center","190001000000","No","MISSING",0,0,0,0,0,0,7,0,0,0,0,0,0,2,9,0,7,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0
"IA","IOWA","1900009","Colfax-Mingo Comm School District","00385","Colfax-Mingo Elementary School","190001000000","No","MISSING",0,0,2,2,0,0,16,0,0,0,0,1,0,16,37,0,20,0,17,0,0,0,0,3,17,0,0,0,0,0,0,3,14,0,0
"IA","IOWA","1900009","Colfax-Mingo Comm School District","00386","Colfax-Mingo High School","190001000000","No","MISSING",0,0,0,0,1,1,20,0,0,0,0,2,0,11,35,0,22,0,13,0,0,0,1,4,16,1,0,0,0,0,1,2,10,0,0
"IA","IOWA","1900015","Sibley-Ocheyedan Comm School District","01485","Sibley-Ocheyedan Middle School","190002000000","No","MISSING",0,0,0,3,0,0,12,0,0,0,2,0,0,7,24,2,13,1,8,0,0,0,0,2,13,0,0,0,0,0,1,1,7,0,0
"IA","IOWA","1900015","Sibley-Ocheyedan Comm School District","01486","Sibley Ocheyedan Elementary School","190002000000","No","MISSING",0,1,0,4,0,0,17,0,0,0,2,0,0,7,31,2,20,0,9,0,0,0,0,2,20,0,0,0,0,0,0,0,9,0,0
"IA","IOWA","1900015","Sibley-Ocheyedan Comm School District","01487","Sibley-Ocheyedan High School","190002000000","No","MISSING",0,0,0,2,0,0,11,0,0,0,2,0,0,6,21,1,12,1,7,0,0,0,1,2,10,0,0,0,0,0,0,4,4,0,0
"IA","IOWA","1900021","Okoboji Comm School District","02002","Okoboji High School","190002000000","No","MISSING",0,0,0,1,0,0,9,0,0,0,1,1,0,5,17,0,10,1,6,0,0,0,0,5,5,0,0,0,0,0,0,3,4,0,0
"IA","IOWA","1900021","Okoboji Comm School District","02003","Okoboji Middle School","190002000000","No","MISSING",0,0,1,0,4,0,19,0,0,0,0,0,0,15,39,1,23,0,15,0,0,0,0,5,18,0,1,0,0,0,0,2,13,0,0
"IA","IOWA","1900021","Okoboji Comm School District","02004","Okoboji Elementary School","190002000000","No","MISSING",0,0,0,1,0,0,31,0,0,0,3,1,0,16,52,1,31,0,20,0,0,0,1,1,30,0,0,0,0,0,0,1,19,0,0
"IA","IOWA","1900022","Union Comm School District","00632","Dysart-Geneseo Elementary School","190002000000","No","MISSING",0,0,1,1,0,0,14,0,0,0,0,1,0,7,24,0,16,0,8,0,0,0,0,6,10,0,0,0,0,0,0,3,5,0,0
"IA","IOWA","1900022","Union Comm School District","00956","La Porte City Elementary School","190002000000","No","MISSING",0,0,0,1,0,0,22,0,0,0,0,1,0,15,39,0,23,0,16,0,0,0,0,7,15,0,1,0,0,0,0,8,8,0,0
"IA","IOWA","1900022","Union Comm School District","00957","Union High School","190002000000","No","MISSING",0,0,0,2,0,0,28,0,0,0,0,1,0,13,44,0,30,0,14,1,0,0,2,5,20,0,2,0,0,0,1,3,8,0,2
"IA","IOWA","1900022","Union Comm School District","02013","Union Middle School","190002000000","No","MISSING",0,0,2,1,0,0,23,0,0,0,2,0,0,19,47,0,26,0,21,0,0,0,0,5,19,0,2,0,0,0,0,4,17,0,0
"IA","IOWA","1900023","Sioux Central Comm School District","00835","Sioux Central Middle School","190002000000","No","MISSING",0,0,1,0,0,0,15,0,0,1,0,0,0,2,19,0,16,0,3,0,0,0,4,3,9,0,0,0,0,0,0,1,2,0,0
"IA","IOWA","1900023","Sioux Central Comm School District","01541","Sioux Central Elementary School","190002000000","No","MISSING",0,0,0,2,1,0,24,0,0,0,2,0,0,11,40,1,26,1,12,0,0,0,2,2,23,0,0,0,0,0,0,3,10,0,0
"IA","IOWA","1900023","Sioux Central Comm School District","01896","Sioux Central High","190002000000","No","MISSING",0,0,0,2,0,0,19,0,0,0,1,0,0,7,29,0,21,1,7,0,0,0,3,2,16,0,0,0,0,0,1,1,6,0,0
"IA","IOWA","1900024","South Central Calhoun Comm School District","00961","South Central Calhoun High School","190002000000","No","MISSING",0,0,0,0,1,0,11,0,0,0,1,0,0,9,22,0,12,0,10,0,0,0,0,1,11,0,0,0,0,0,0,1,9,0,0
"IA","IOWA","1900024","South Central Calhoun Comm School District","01417","South Central Calhoun Elementary Building","190002000000","No","MISSING",0,0,0,0,2,0,24,0,0,0,1,0,0,9,36,0,26,0,10,0,0,0,0,6,20,0,0,0,0,0,0,2,8,0,0
"IA","IOWA","1900024","South Central Calhoun Comm School District","02153","South Central Calhoun Middle School","190002000000","No","MISSING",0,0,0,2,1,0,17,0,0,0,0,0,0,16,36,0,20,0,16,0,0,1,0,4,15,0,0,0,0,0,0,1,15,0,0
"IA","IOWA","1900025","Panorama Comm School District","00606","Panorama Elementary","190003000000","No","MISSING",0,0,0,0,0,0,23,0,0,0,0,0,0,9,32,0,23,0,9,0,0,0,0,6,17,0,0,0,0,0,0,0,9,0,0
