"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"AL","ALABAMA","0100002","Alabama Youth Services","01705","Wallace School  Mount Meigs Campus","010000201705","Yes","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100005","Albertville City","00871","Albertville High School","010000500871","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","00878","Douglas High School","010000600878","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","00887","Brindlee Mountain Primary School","010000600887","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","01585","Brindlee Mountain High School","010000601585","No","TBI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100007","Hoover City","01483","Deer Valley Elementary School","010000701483","No","TBI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100007","Hoover City","01741","Ira F Simmons Middle School","010000701741","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100008","Madison City","01485","Rainbow Elementary School","010000801485","No","TBI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100013","Trussville City","01498","Paine Elementary School","010001301498","No","TBI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AL","ALABAMA","0100013","Trussville City","01682","HewittTrussville High School","010001301682","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100015","SafetyNet Academy Minter","01827","SafetyNet Academy Minter","010001501827","-8","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100030","Alexander City","00001","Alexander City Middle School","010003000001","No","TBI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100030","Alexander City","00003","Benjamin Russell High School","010003000003","No","TBI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100060","Andalusia City","01467","Andalusia Elementary School","010006001467","No","TBI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100090","Anniston City","00017","Golden Springs Elementary School","010009000017","No","TBI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
