"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"AL","ALABAMA","0100005","Albertville City","00889","Albertville Elementary School","010000500889","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","00872","Asbury High School","010000600872","No","VI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AL","ALABAMA","0100006","Marshall County","00877","Douglas Elementary School","010000600877","No","VI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100006","Marshall County","01585","Brindlee Mountain High School","010000601585","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100007","Hoover City","00251","Hoover High School","010000700251","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100007","Hoover City","01739","Green Valley Elementary School","010000701739","No","VI",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100008","Madison City","00831","Bob Jones High School","010000800831","No","VI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100008","Madison City","02198","James Clemens High School","010000802198","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100009","Al Inst Deaf And Blind","01404","Alabama School For Blind","010000901404","No","VI",0,0,19,1,1,0,21,0,2,21,2,1,0,33,101,1,41,1,58,0,0,0,0,0,1,26,15,0,0,0,0,0,3,28,28
"AL","ALABAMA","0100009","Al Inst Deaf And Blind","01405","Helen Keller School","010000901405","No","VI",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100013","Trussville City","00714","HewittTrussville Middle School","010001300714","No","VI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100013","Trussville City","01498","Paine Elementary School","010001301498","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"AL","ALABAMA","0100013","Trussville City","02402","Cahaba Elementary School","010001302402","No","VI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100030","Alexander City","00004","Jim Pearson Elementary School","010003000004","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100090","Anniston City","00021","Tenth Street Elementary School","010009000021","No","VI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100100","Arab City","00027","Arab Junior High School","010010000027","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100100","Arab City","00028","Arab High School","010010000028","No","VI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100120","Athens City","00522","Athens Intermediate School","010012000522","No","VI",0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100120","Athens City","01473","Athens Middle School","010012001473","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100185","Saraland City","00952","Saraland Elementary School","010018500952","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100188","Chickasaw City","02193","Chickasaw City Elementary School","010018802193","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100190","Alabaster City","01815","Creek View Elementary School","010019001815","No","VI",0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100210","Auburn City","00037","Auburn Junior High School","010021000037","No","VI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100210","Auburn City","00041","Drake Middle School","010021000041","No","VI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100240","Autauga County","00048","Prattville High School","010024000048","No","VI",0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
"AL","ALABAMA","0100240","Autauga County","00049","Prattville Junior High School","010024000049","No","VI",0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100240","Autauga County","00051","Prattville Primary School","010024000051","No","VI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
