OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,ShapeSTArea,ShapeSTLength
1,48,029,110100,48029110100,1101,Census Tract,G5020,S,3428908,13720,+29.4261655,-098.4905264,"Census Tract 1101, Bexar County, Texas",3812,3147,2121,303,70,153,4,496,665,630,30,44,34,1,503,3,0,0,12,0,0,1,2,0,0,32,7,0,0,2,0,1,18,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37045958.7832031,25300.4109471761
2,48,029,110300,48029110300,1103,Census Tract,G5020,S,1557586,0,+29.4143199,-098.4808476,"Census Tract 1103, Bexar County, Texas",2401,1709,1097,124,35,35,1,417,692,659,12,15,13,0,598,3,0,0,13,0,0,4,1,0,0,29,4,0,0,5,0,0,13,0,2,4,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16761086.671875,22073.7814466071
3,48,029,110500,48029110500,1105,Census Tract,G5020,S,1149488,105494,+29.4170710,-098.5090798,"Census Tract 1105, Bexar County, Texas",2369,1627,995,160,20,44,0,408,742,729,9,20,4,0,670,3,1,0,15,1,0,4,1,1,0,10,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13504857.9960938,15174.5979760744
4,48,029,110600,48029110600,1106,Census Tract,G5020,S,1976489,11034,+29.4292110,-098.5078374,"Census Tract 1106, Bexar County, Texas",7284,6351,3311,891,52,16,3,2078,933,915,12,12,0,5,864,3,0,1,6,0,0,10,1,1,0,18,3,1,0,5,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21387586.8222656,19517.4533540947
5,48,029,110700,48029110700,1107,Census Tract,G5020,S,1057560,0,+29.4389386,-098.5036913,"Census Tract 1107, Bexar County, Texas",1210,873,501,55,17,7,2,291,337,322,2,10,1,0,298,0,2,1,4,0,0,4,0,0,0,11,1,0,0,1,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11380368.6425781,18864.1114819865
6,48,029,111000,48029111000,1110,Census Tract,G5020,S,1553477,0,+29.4403477,-098.4708688,"Census Tract 1110, Bexar County, Texas",2356,1741,1122,127,39,65,3,385,615,590,14,23,16,0,514,3,8,0,5,0,0,6,0,1,0,19,1,0,0,1,0,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16716841.5742188,22356.6989942301
7,48,029,111100,48029111100,1111,Census Tract,G5020,S,2569809,0,+29.4406247,-098.4880242,"Census Tract 1111, Bexar County, Texas",4099,3331,2447,222,50,147,3,462,768,740,29,47,49,1,592,2,2,0,3,0,0,4,0,5,6,28,5,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27653598.5292969,24820.2730384129
8,48,029,120100,48029120100,1201,Census Tract,G5020,S,13443910,12024,+29.4608965,-098.4383400,"Census Tract 1201, Bexar County, Texas",7464,6679,4235,1215,72,473,53,631,785,711,132,78,117,10,291,16,12,3,19,0,3,3,18,9,0,67,14,8,11,10,0,3,5,8,5,0,0,0,2,0,0,1,0,0,0,0,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144798947.53125,76994.5625901019
9,48,029,120301,48029120301,1203.01,Census Tract,G5020,S,1670890,0,+29.4845510,-098.4624194,"Census Tract 1203.01, Bexar County, Texas",2989,2547,2242,47,11,105,1,141,442,415,16,35,39,1,315,0,2,0,0,0,0,2,3,2,0,25,0,0,0,0,2,0,13,4,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980451.4179688,24089.3903838016
10,48,029,120302,48029120302,1203.02,Census Tract,G5020,S,3083902,0,+29.4818167,-098.4711716,"Census Tract 1203.02, Bexar County, Texas",4371,3798,3572,27,6,63,0,130,573,553,23,54,55,0,406,2,0,0,3,0,0,2,0,4,4,20,1,0,1,3,1,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33185863.7890625,28190.0816230541
11,48,029,120401,48029120401,1204.01,Census Tract,G5020,S,1746390,0,+29.4752163,-098.4394574,"Census Tract 1204.01, Bexar County, Texas",2595,2182,1879,82,22,61,5,133,413,380,16,18,33,0,299,0,1,1,6,0,0,4,2,0,0,25,8,3,0,5,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18792918.4414062,23542.0821107649
12,48,029,120402,48029120402,1204.02,Census Tract,G5020,S,2954937,0,+29.4766443,-098.4510467,"Census Tract 1204.02, Bexar County, Texas",3365,3011,2874,7,11,55,0,64,354,342,9,23,25,0,279,0,1,1,0,0,1,0,0,3,0,9,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31798079.4902344,23305.0449439635
13,48,029,120502,48029120502,1205.02,Census Tract,G5020,S,3308099,0,+29.5045334,-098.4076210,"Census Tract 1205.02, Bexar County, Texas",5395,4325,2026,825,61,164,8,1241,1070,1021,48,51,26,12,838,7,0,2,26,0,0,10,0,0,1,47,10,1,0,15,1,0,15,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,35598587.109375,33260.5876509867
14,48,029,120503,48029120503,1205.03,Census Tract,G5020,S,1462578,0,+29.4902303,-098.4250679,"Census Tract 1205.03, Bexar County, Texas",3351,2672,1381,501,27,140,3,620,679,656,39,32,23,4,524,5,0,1,17,1,0,4,3,2,1,21,2,1,0,3,2,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15738755.4375,16920.4330674461
